"AWifi","BWifi","CWifi","Cell"
"76","77","72","A"
"76","74","70","A"
"75","79","70","A"
"75","72","71","A"
"72","72","70","A"
"70","73","71","A"
"73","73","71","A"
"75","73","70","A"
"75","73","71","A"
"79","74","71","A"
"78","73","71","A"
"70","73","71","A"
"69","75","71","A"
"78","74","71","A"
"74","73","71","A"
"78","73","71","A"
"75","74","70","A"
"78","75","71","A"
"76","73","71","A"
"77","74","70","A"
"69","73","71","A"
"70","75","71","A"
"80","74","71","A"
"74","73","71","A"
"75","75","71","A"
"77","74","71","A"
"75","73","71","A"
"78","73","71","A"
"77","74","71","A"
"77","73","71","A"
"79","73","71","A"
"75","73","71","A"
"74","75","71","A"
"78","75","70","A"
"74","73","71","A"
"77","74","70","A"
"78","73","70","A"
"78","74","71","A"
"75","73","71","A"
"75","74","71","A"
"71","73","71","A"
"78","73","71","A"
"71","74","71","A"
"75","75","70","A"
"76","73","70","A"
"75","74","71","A"
"71","73","71","A"
"71","73","71","A"
"79","75","71","A"
"79","73","71","A"
"78","73","72","A"
"71","75","71","A"
"75","74","71","A"
"74","74","72","A"
"75","74","71","A"
"78","73","71","A"
"70","73","71","A"
"71","73","71","A"
"70","74","71","A"
"70","73","71","A"
"74","74","71","A"
"79","73","71","A"
"70","73","71","A"
"71","74","71","A"
"71","73","71","A"
"79","73","71","A"
"78","73","70","A"
"71","74","71","A"
"76","74","71","A"
"79","74","71","A"
"75","73","71","A"
"74","74","72","A"
"77","74","71","A"
"79","74","71","A"
"71","74","71","A"
"75","75","70","A"
"75","74","71","A"
"78","74","70","A"
"78","73","71","A"
"70","74","71","A"
"70","75","70","A"
"72","73","70","A"
"77","74","71","A"
"77","76","71","A"
"75","74","71","A"
"77","74","70","A"
"68","74","70","A"
"75","75","70","A"
"71","73","70","A"
"71","74","70","A"
"69","73","70","A"
"75","73","71","A"
"77","73","70","A"
"71","75","70","A"
"71","74","70","A"
"78","74","70","A"
"76","75","70","A"
"74","74","71","A"
"69","73","71","A"
"71","74","70","A"
"68","73","70","A"
"70","73","71","A"
"78","74","70","A"
"76","75","71","A"
"79","74","70","A"
"77","74","70","A"
"68","73","71","A"
"72","73","70","A"
"69","74","70","A"
"75","73","70","A"
"70","74","70","A"
"69","74","70","A"
"77","74","70","A"
"71","73","70","A"
"74","73","70","A"
"67","72","71","A"
"73","77","72","A"
"59","69","79","A"
"57","76","74","A"
"57","69","73","A"
"57","69","75","A"
"58","68","73","A"
"57","70","71","A"
"58","70","72","A"
"58","68","74","A"
"58","68","73","A"
"57","67","73","A"
"57","69","71","A"
"57","68","71","A"
"58","69","70","A"
"57","68","73","A"
"58","67","72","A"
"58","67","73","A"
"57","69","70","A"
"57","69","70","A"
"58","67","71","A"
"58","69","74","A"
"57","68","74","A"
"56","69","70","A"
"60","69","74","A"
"57","68","72","A"
"57","68","69","A"
"57","69","70","A"
"57","69","71","A"
"58","68","74","A"
"58","68","77","A"
"57","68","77","A"
"58","68","77","A"
"58","68","76","A"
"57","68","76","A"
"57","68","77","A"
"57","69","76","A"
"58","69","75","A"
"57","68","75","A"
"58","68","75","A"
"57","69","76","A"
"57","68","76","A"
"58","70","76","A"
"58","69","75","A"
"58","68","75","A"
"59","68","75","A"
"57","68","76","A"
"58","68","76","A"
"56","68","77","A"
"57","68","77","A"
"57","69","77","A"
"57","68","77","A"
"57","67","78","A"
"58","68","77","A"
"57","68","77","A"
"57","70","72","A"
"57","69","74","A"
"57","66","73","A"
"57","69","74","A"
"57","68","77","A"
"58","70","76","A"
"57","70","75","A"
